week,cases
2015-W01,256
2015-W02,228
2015-W03,237
2015-W04,259
2015-W05,212
2015-W06,173
2015-W07,99
2015-W08,172
2015-W09,189
2015-W10,110
2015-W11,91
2015-W12,129
2015-W13,90
2015-W14,107
2015-W15,137
2015-W16,113
2015-W17,120
2015-W18,135
2015-W19,157
2015-W20,109
2015-W21,178
2015-W22,151
2015-W23,192
2015-W24,207
2015-W25,240
2015-W26,242
2015-W27,272
2015-W28,263
2015-W29,293
2015-W30,250
2015-W31,226
2015-W32,221
2015-W33,250
2015-W34,225
2015-W35,246
2015-W36,217
2015-W37,303
2015-W38,214
2015-W39,257
2015-W40,235
2015-W41,235
2015-W42,224
2015-W43,246
2015-W44,266
2015-W45,198
2015-W46,254
2015-W47,285
2015-W48,259
2015-W49,356
2015-W50,333
2015-W51,372
2015-W52,458
