week,cases
2021-W01,194
2021-W02,165
2021-W03,151
2021-W04,135
2021-W05,141
2021-W06,142
2021-W07,148
2021-W08,145
2021-W09,139
2021-W10,145
2021-W11,129
2021-W12,120
2021-W13,113
2021-W14,102
2021-W15,112
2021-W16,128
2021-W17,84
2021-W18,117
2021-W19,92
2021-W20,116
2021-W21,130
2021-W22,118
2021-W23,137
2021-W24,135
2021-W25,126
2021-W26,112
2021-W27,104
2021-W28,75
2021-W29,80
2021-W30,82
2021-W31,70
2021-W32,81
2021-W33,56
2021-W34,53
2021-W35,46
2021-W36,60
2021-W37,74
2021-W38,109
2021-W39,105
2021-W40,104
2021-W41,85
2021-W42,76
2021-W43,75
2021-W44,59
2021-W45,42
2021-W46,56
2021-W47,63
2021-W48,48
2021-W49,64
2021-W50,61
2021-W51,68
2021-W52,76
