week,cases
2019-W01,205
2019-W02,245
2019-W03,207
2019-W04,221
2019-W05,179
2019-W06,135
2019-W07,232
2019-W08,181
2019-W09,156
2019-W10,133
2019-W11,109
2019-W12,96
2019-W13,99
2019-W14,108
2019-W15,125
2019-W16,134
2019-W17,156
2019-W18,192
2019-W19,287
2019-W20,307
2019-W21,376
2019-W22,400
2019-W23,396
2019-W24,464
2019-W25,430
2019-W26,492
2019-W27,591
2019-W28,661
2019-W29,644
2019-W30,601
2019-W31,597
2019-W32,521
2019-W33,522
2019-W34,474
2019-W35,412
2019-W36,326
2019-W37,314
2019-W38,299
2019-W39,258
2019-W40,243
2019-W41,226
2019-W42,239
2019-W43,241
2019-W44,306
2019-W45,321
2019-W46,372
2019-W47,329
2019-W48,295
2019-W49,280
2019-W50,257
2019-W51,226
2019-W52,290
