week,cases
2014-W01,436
2014-W02,479
2014-W03,401
2014-W04,336
2014-W05,234
2014-W06,273
2014-W07,369
2014-W08,193
2014-W09,186
2014-W10,209
2014-W11,224
2014-W12,210
2014-W13,225
2014-W14,240
2014-W15,244
2014-W16,235
2014-W17,282
2014-W18,251
2014-W19,261
2014-W20,291
2014-W21,427
2014-W22,456
2014-W23,458
2014-W24,506
2014-W25,550
2014-W26,671
2014-W27,888
2014-W28,818
2014-W29,744
2014-W30,633
2014-W31,484
2014-W32,545
2014-W33,438
2014-W34,418
2014-W35,367
2014-W36,339
2014-W37,362
2014-W38,396
2014-W39,344
2014-W40,339
2014-W41,278
2014-W42,297
2014-W43,213
2014-W44,186
2014-W45,168
2014-W46,158
2014-W47,149
2014-W48,162
2014-W49,212
2014-W50,177
2014-W51,198
2014-W52,188
2014-W53,158
