week,cases
2013-W01,132
2013-W02,204
2013-W03,219
2013-W04,264
2013-W05,292
2013-W06,322
2013-W07,246
2013-W08,294
2013-W09,247
2013-W10,272
2013-W11,307
2013-W12,305
2013-W13,314
2013-W14,402
2013-W15,491
2013-W16,505
2013-W17,536
2013-W18,547
2013-W19,556
2013-W20,611
2013-W21,637
2013-W22,742
2013-W23,813
2013-W24,805
2013-W25,838
2013-W26,802
2013-W27,676
2013-W28,540
2013-W29,389
2013-W30,305
2013-W31,288
2013-W32,255
2013-W33,378
2013-W34,338
2013-W35,382
2013-W36,449
2013-W37,337
2013-W38,370
2013-W39,402
2013-W40,439
2013-W41,435
2013-W42,371
2013-W43,495
2013-W44,457
2013-W45,401
2013-W46,442
2013-W47,365
2013-W48,372
2013-W49,347
2013-W50,380
2013-W51,371
2013-W52,414
