week,cases
2018-W01,83
2018-W02,68
2018-W03,54
2018-W04,45
2018-W05,48
2018-W06,50
2018-W07,28
2018-W08,38
2018-W09,51
2018-W10,37
2018-W11,37
2018-W12,36
2018-W13,24
2018-W14,38
2018-W15,38
2018-W16,56
2018-W17,55
2018-W18,74
2018-W19,62
2018-W20,63
2018-W21,64
2018-W22,52
2018-W23,75
2018-W24,55
2018-W25,59
2018-W26,75
2018-W27,56
2018-W28,44
2018-W29,41
2018-W30,56
2018-W31,50
2018-W32,59
2018-W33,42
2018-W34,66
2018-W35,75
2018-W36,75
2018-W37,49
2018-W38,63
2018-W39,40
2018-W40,51
2018-W41,51
2018-W42,60
2018-W43,78
2018-W44,75
2018-W45,71
2018-W46,78
2018-W47,97
2018-W48,109
2018-W49,114
2018-W50,107
2018-W51,127
2018-W52,160
