week,cases
2017-W01,70
2017-W02,90
2017-W03,74
2017-W04,66
2017-W05,62
2017-W06,77
2017-W07,51
2017-W08,54
2017-W09,41
2017-W10,32
2017-W11,34
2017-W12,32
2017-W13,49
2017-W14,37
2017-W15,32
2017-W16,51
2017-W17,37
2017-W18,42
2017-W19,48
2017-W20,48
2017-W21,50
2017-W22,66
2017-W23,62
2017-W24,79
2017-W25,73
2017-W26,75
2017-W27,63
2017-W28,53
2017-W29,51
2017-W30,66
2017-W31,60
2017-W32,56
2017-W33,52
2017-W34,51
2017-W35,33
2017-W36,40
2017-W37,53
2017-W38,58
2017-W39,39
2017-W40,51
2017-W41,55
2017-W42,62
2017-W43,77
2017-W44,62
2017-W45,44
2017-W46,50
2017-W47,24
2017-W48,37
2017-W49,33
2017-W50,40
2017-W51,51
2017-W52,66
