week,cases
2012-W01,74
2012-W02,64
2012-W03,60
2012-W04,50
2012-W05,84
2012-W06,87
2012-W07,65
2012-W08,50
2012-W09,55
2012-W10,45
2012-W11,64
2012-W12,72
2012-W13,48
2012-W14,52
2012-W15,81
2012-W16,77
2012-W17,64
2012-W18,86
2012-W19,96
2012-W20,80
2012-W21,80
2012-W22,81
2012-W23,99
2012-W24,87
2012-W25,128
2012-W26,151
2012-W27,140
2012-W28,131
2012-W29,124
2012-W30,110
2012-W31,94
2012-W32,127
2012-W33,115
2012-W34,92
2012-W35,102
2012-W36,75
2012-W37,73
2012-W38,72
2012-W39,99
2012-W40,103
2012-W41,122
2012-W42,105
2012-W43,84
2012-W44,104
2012-W45,99
2012-W46,87
2012-W47,99
2012-W48,80
2012-W49,78
2012-W50,104
2012-W51,92
2012-W52,111
