week,cases
2020-W01,302
2020-W02,342
2020-W03,402
2020-W04,307
2020-W05,370
2020-W06,400
2020-W07,378
2020-W08,380
2020-W09,373
2020-W10,375
2020-W11,389
2020-W12,367
2020-W13,377
2020-W14,315
2020-W15,341
2020-W16,360
2020-W17,399
2020-W18,390
2020-W19,502
2020-W20,524
2020-W21,618
2020-W22,731
2020-W23,868
2020-W24,1151
2020-W25,1369
2020-W26,1460
2020-W27,1444
2020-W28,1665
2020-W29,1725
2020-W30,1791
2020-W31,1376
2020-W32,1667
2020-W33,1336
2020-W34,1285
2020-W35,1153
2020-W36,937
2020-W37,725
2020-W38,671
2020-W39,590
2020-W40,605
2020-W41,528
2020-W42,591
2020-W43,563
2020-W44,440
2020-W45,408
2020-W46,354
2020-W47,258
2020-W48,279
2020-W49,228
2020-W50,227
2020-W51,236
2020-W52,196
2020-W53,193
